"Feature","Value"
"ADC_original_shape_Elongation",0.972052098
"ADC_original_shape_Flatness",0.75298832
"ADC_original_shape_LeastAxisLength",25.49296719
"ADC_original_shape_MajorAxisLength",33.85572725
"ADC_original_shape_Maximum2DDiameterColumn",42.72001873
"ADC_original_shape_Maximum2DDiameterRow",39.39543121
"ADC_original_shape_Maximum2DDiameterSlice",40.02499219
"ADC_original_shape_Maximum3DDiameter",43.92038251
"ADC_original_shape_MeshVolume",18836.125
"ADC_original_shape_MinorAxisLength",32.90953069
"ADC_original_shape_SurfaceArea",5386.077643
"ADC_original_shape_VoxelVolume",18888
"ADC_original_firstorder_10Percentile",1.015280127
"ADC_original_firstorder_90Percentile",3.306969859
"ADC_original_firstorder_Energy",108096.8727
"ADC_original_firstorder_Entropy",-3.2e-16
"ADC_original_firstorder_InterquartileRange",1.451207123
"ADC_original_firstorder_Kurtosis",1.832620374
"ADC_original_firstorder_Maximum",4.176908635
"ADC_original_firstorder_MeanAbsoluteDeviation",0.730917152
"ADC_original_firstorder_Mean",2.239325334
"ADC_original_firstorder_Median",2.321170163
"ADC_original_firstorder_Minimum",0.473286668
"ADC_original_firstorder_Range",3.703621967
"ADC_original_firstorder_RobustMeanAbsoluteDeviation",0.584602324
"ADC_original_firstorder_RootMeanSquared",2.392288639
"ADC_original_firstorder_Skewness",-0.130658821
"ADC_original_firstorder_TotalEnergy",108096.8727
"ADC_original_firstorder_Uniformity",1
"ADC_original_firstorder_Variance",0.708466981
"ADC_original_glcm_Autocorrelation",1
"ADC_original_glcm_JointAverage",1
"ADC_original_glcm_ClusterProminence",0
"ADC_original_glcm_ClusterShade",0
"ADC_original_glcm_ClusterTendency",0
"ADC_original_glcm_Contrast",0
"ADC_original_glcm_Correlation",1
"ADC_original_glcm_DifferenceAverage",0
"ADC_original_glcm_DifferenceEntropy",-3.2e-16
"ADC_original_glcm_DifferenceVariance",0
"ADC_original_glcm_JointEnergy",1
"ADC_original_glcm_JointEntropy",-3.2e-16
"ADC_original_glcm_Imc1",0
"ADC_original_glcm_Imc2",0
"ADC_original_glcm_Idm",1
"ADC_original_glcm_Idmn",1
"ADC_original_glcm_Id",1
"ADC_original_glcm_Idn",1
"ADC_original_glcm_InverseVariance",0
"ADC_original_glcm_MaximumProbability",1
"ADC_original_glcm_SumEntropy",-3.2e-16
"ADC_original_glcm_SumSquares",0
"ADC_original_gldm_DependenceEntropy",2.134194318
"ADC_original_gldm_DependenceNonUniformity",8999.564909
"ADC_original_gldm_DependenceNonUniformityNormalized",0.476469976
"ADC_original_gldm_GrayLevelNonUniformity",18888
"ADC_original_gldm_GrayLevelVariance",0
"ADC_original_gldm_HighGrayLevelEmphasis",1
"ADC_original_gldm_LargeDependenceHighGrayLevelEmphasis",622.7416349
"ADC_original_gldm_LargeDependenceLowGrayLevelEmphasis",622.7416349
"ADC_original_gldm_LowGrayLevelEmphasis",1
"ADC_original_gldm_SmallDependenceHighGrayLevelEmphasis",0.002072394
"ADC_original_gldm_SmallDependenceLowGrayLevelEmphasis",0.002072394
"ADC_original_glrlm_GrayLevelNonUniformity",1776.692308
"ADC_original_glrlm_GrayLevelNonUniformityNormalized",1
"ADC_original_glrlm_GrayLevelVariance",0
"ADC_original_glrlm_HighGrayLevelRunEmphasis",1
"ADC_original_glrlm_LongRunEmphasis",232.1851334
"ADC_original_glrlm_LongRunHighGrayLevelEmphasis",232.1851334
"ADC_original_glrlm_LongRunLowGrayLevelEmphasis",232.1851334
"ADC_original_glrlm_LowGrayLevelRunEmphasis",1
"ADC_original_glrlm_RunVariance",55.74826989
"ADC_original_glszm_LargeAreaEmphasis",356756544
"ADC_original_glszm_LargeAreaHighGrayLevelEmphasis",356756544
"ADC_original_glszm_LargeAreaLowGrayLevelEmphasis",356756544
"ADC_original_glszm_SizeZoneNonUniformityNormalized",1
"ADC_original_glszm_ZoneEntropy",-3.2e-16
"ADC_original_glszm_ZoneVariance",0
"ADC_original_ngtdm_Busyness",0
"ADC_original_ngtdm_Coarseness",1e+06
"ADC_original_ngtdm_Complexity",0
"ADC_original_ngtdm_Contrast",0
"ADC_log-sigma-2-0-mm-3D_firstorder_10Percentile",-0.450461334
"ADC_log-sigma-2-0-mm-3D_firstorder_90Percentile",0.273479915
"ADC_log-sigma-2-0-mm-3D_firstorder_Energy",1579.888574
"ADC_log-sigma-2-0-mm-3D_firstorder_Entropy",0.98449723
"ADC_log-sigma-2-0-mm-3D_firstorder_InterquartileRange",0.393584576
"ADC_log-sigma-2-0-mm-3D_firstorder_Kurtosis",2.786033385
"ADC_log-sigma-2-0-mm-3D_firstorder_Maximum",0.814805627
"ADC_log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation",0.227479818
"ADC_log-sigma-2-0-mm-3D_firstorder_Mean",-0.073276475
"ADC_log-sigma-2-0-mm-3D_firstorder_Median",-0.057977472
"ADC_log-sigma-2-0-mm-3D_firstorder_Minimum",-1.074216604
"ADC_log-sigma-2-0-mm-3D_firstorder_Range",1.889022231
"ADC_log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation",0.164070697
"ADC_log-sigma-2-0-mm-3D_firstorder_RootMeanSquared",0.289214619
"ADC_log-sigma-2-0-mm-3D_firstorder_Skewness",-0.283200158
"ADC_log-sigma-2-0-mm-3D_firstorder_TotalEnergy",1579.888574
"ADC_log-sigma-2-0-mm-3D_firstorder_Uniformity",0.510707156
"ADC_log-sigma-2-0-mm-3D_firstorder_Variance",0.078275654
"ADC_log-sigma-2-0-mm-3D_glcm_Autocorrelation",2.138192654
"ADC_log-sigma-2-0-mm-3D_glcm_JointAverage",1.404442807
"ADC_log-sigma-2-0-mm-3D_glcm_ClusterProminence",0.885403086
"ADC_log-sigma-2-0-mm-3D_glcm_ClusterShade",0.281283488
"ADC_log-sigma-2-0-mm-3D_glcm_ClusterTendency",0.813062793
"ADC_log-sigma-2-0-mm-3D_glcm_Contrast",0.150271535
"ADC_log-sigma-2-0-mm-3D_glcm_Correlation",0.687829804
"ADC_log-sigma-2-0-mm-3D_glcm_DifferenceAverage",0.150271535
"ADC_log-sigma-2-0-mm-3D_glcm_DifferenceEntropy",0.60360625
"ADC_log-sigma-2-0-mm-3D_glcm_DifferenceVariance",0.126532924
"ADC_log-sigma-2-0-mm-3D_glcm_JointEnergy",0.391799911
"ADC_log-sigma-2-0-mm-3D_glcm_JointEntropy",1.572066287
"ADC_log-sigma-2-0-mm-3D_glcm_Imc1",-0.38478351
"ADC_log-sigma-2-0-mm-3D_glcm_Imc2",0.718947075
"ADC_log-sigma-2-0-mm-3D_glcm_Idm",0.924864233
"ADC_log-sigma-2-0-mm-3D_glcm_Idmn",0.969945693
"ADC_log-sigma-2-0-mm-3D_glcm_Id",0.924864233
"ADC_log-sigma-2-0-mm-3D_glcm_Idn",0.949909488
"ADC_log-sigma-2-0-mm-3D_glcm_InverseVariance",0.150271535
"ADC_log-sigma-2-0-mm-3D_glcm_MaximumProbability",0.520421426
"ADC_log-sigma-2-0-mm-3D_glcm_SumEntropy",1.421794752
"ADC_log-sigma-2-0-mm-3D_glcm_SumSquares",0.240833582
"ADC_log-sigma-2-0-mm-3D_gldm_DependenceEntropy",4.716863637
"ADC_log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity",2202.314697
"ADC_log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized",0.116598618
"ADC_log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity",9646.236764
"ADC_log-sigma-2-0-mm-3D_gldm_GrayLevelVariance",0.244646422
"ADC_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis",2.280495553
"ADC_log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis",473.732105
"ADC_log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis",984.031025
"ADC_log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis",346.1573751
"ADC_log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis",0.679876112
"ADC_log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity",2199.462347
"ADC_log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized",0.506871528
